entry_date,entry_price,position,stop_loss,exit_date,exit_price,pnl,open_at_end,symbol,holding_days,return_pct
2024-04-19,952.0512084960938,10,904.448648071289,2024-05-16,925.5614624023438,-264.8974609375,,TATAMOTORS.NS,27,-2.782386688589418
2024-05-17,934.7537841796875,10,888.0160949707031,2024-05-21,940.2889404296875,55.3515625,,TATAMOTORS.NS,4,0.5921512534830218
2024-05-22,936.5328979492188,10,889.7062530517578,2024-05-23,951.2109985351562,146.781005859375,,TATAMOTORS.NS,1,1.5672808310395716
2024-05-27,947.4055786132812,10,900.0352996826172,2024-05-28,936.5823364257812,-108.232421875,,TATAMOTORS.NS,1,-1.1424085346153432
2024-05-29,932.6780395507812,10,886.0441375732421,2024-05-30,913.2555541992188,-194.224853515625,,TATAMOTORS.NS,1,-2.0824426573737305
2024-05-31,912.3164672851562,10,866.7006439208984,2024-06-03,939.4487915039062,271.3232421875,,TATAMOTORS.NS,3,2.9740035603533004
2024-06-04,893.4376220703125,10,848.7657409667968,2024-06-05,919.1860961914062,257.4847412109375,,TATAMOTORS.NS,1,2.8819554365114226
2024-08-05,1007.7852172851562,10,957.3959564208984,2024-09-17,966.6390380859375,-411.4617919921875,,TATAMOTORS.NS,43,-4.082832184228825
2024-09-18,953.8489379882812,10,906.1564910888671,2024-09-19,958.7567749023438,49.078369140625,,TATAMOTORS.NS,1,0.5145297875377827
2024-09-20,962.5739135742188,10,914.4452178955078,2024-09-23,963.515869140625,9.4195556640625,,TATAMOTORS.NS,3,0.0978579985518817
2024-09-24,968.9689331054688,10,920.5204864501952,2024-09-25,955.3857421875,-135.8319091796875,,TATAMOTORS.NS,1,-1.4018190319513855
2024-09-26,984.6838989257812,10,935.4497039794921,2024-09-27,984.53515625,-1.4874267578125,,TATAMOTORS.NS,1,-0.015105626886305085
2024-09-30,966.3416137695312,10,918.0245330810546,2024-10-01,956.9721069335938,-93.695068359375,,TATAMOTORS.NS,1,-0.9695853621980199
2024-10-03,917.808837890625,10,871.9183959960938,2024-10-04,922.8157958984375,50.069580078125,,TATAMOTORS.NS,1,0.5455338629468698
2024-10-07,919.9404907226562,10,873.9434661865234,2024-10-08,911.9591064453125,-79.8138427734375,,TATAMOTORS.NS,1,-0.8675978889758401
2024-10-09,931.1442260742188,10,884.5870147705077,2024-10-10,920.5849609375,-105.5926513671875,,TATAMOTORS.NS,1,-1.134009623969585
2024-10-11,922.7662353515625,10,876.6279235839843,2024-10-14,920.3370971679688,-24.2913818359375,,TATAMOTORS.NS,3,-0.26324523920928666
2024-10-15,909.4804077148438,10,864.0063873291015,2024-10-16,899.7144165039062,-97.659912109375,,TATAMOTORS.NS,1,-1.0737989656616664
2024-10-17,883.99951171875,10,839.7995361328125,2024-10-18,902.3914184570312,183.9190673828125,,TATAMOTORS.NS,1,2.080533585648942
2024-10-21,895.5997924804688,10,850.8198028564452,2024-10-22,872.002685546875,-235.9710693359375,,TATAMOTORS.NS,1,-2.6347825369899645
2024-10-23,870.16845703125,10,826.6600341796875,2024-10-24,872.4984130859375,23.299560546875,,TATAMOTORS.NS,1,0.26775919488470096
